Name	URL	Duration	UpdateInterval	StartOn	EndBy	Cache
RLC01	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC01.mp4	0:00:39	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC02	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC02.mp4	0:01:18	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC03	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC03.mp4	0:00:37	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC04	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC04.mp4	0:00:25	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC05	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC05.mp4	0:01:01	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC06	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC06.mp4	0:00:18	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC07	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC07.mp4	0:01:48	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC08	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC08.mp4	0:00:36	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC09	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC09.mp4	0:01:38	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC10	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC10.mp4	0:01:28	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC11	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC11.mp4	0:01:52	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC12	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC12.mp4	0:01:22	1:00:00	1/1/18 0:00	12/31/30 23:59	yes
RLC13	https://github.com/SJCP-IT/Exhibit-Config/raw/refs/heads/main/SJATVSS%20Default/Videos/RLC13.mp4	0:00:36	1:00:00	1/1/18 0:00	12/31/30 23:59	yes